Edital,Instituição da Rede,Curso,Município,Matrículas Iniciais,Formados,Porcentagem de Formados
35/21,UFPI,Pedagogia,Pedro II,75,53,"70,67%"
35/21,UFPI,Letras Português,Picos,51,36,"70,59%"
35/21,UFPI,Ciências da Natureza,Teresina,64,9,"14,06%"
35/21,UFPI,Ciências da Natureza,Picos,42,15,"35,71%"
35/21,UESPI,Ciências Biológicas,Piripiri,46,32,"69,57%"
35/21,UESPI,Ciências Biológicas,Bom Jesus,51,29,"56,86%"
35/21,UESPI,Ciências Biológicas,Oeiras,52,28,"53,85%"
35/21,UESPI,Ciências Biológicas,Simões,48,39,"81,25%"
35/21,UNICAP,Letras Português,Recife,31,29,"93,55%"
35/21,UNICAP,Pedagogia,Recife,94,75,"79,79%"
35/21,UNICAP,Matemática,Recife,32,13,"40,63%"
66/21,UFPI,Pedagogia,Teresina,61,40,"65,57%"
66/21,UFPI,Pedagogia,Floriano,53,33,"62,26%"
66/21,UFPI,Letras Português,Floriano,42,31,"73,81%"
66/21,UFPI,Química,Teresina,53,24,"45,28%"
66/21,UESPI,Matemática,Barras,40,37,"92,50%"
66/21,UESPI,Matemática,Picos,40,10,"25,00%"
66/21,UESPI,Matemática,Campo Maior,40,28,"70,00%"
66/21,UESPI,Matemática,Santa Cruz do Piauí,40,35,"87,50%"
66/21,UNICAP,Letras Português,Recife,33,24,"72,72%"
66/21,UNICAP,Matemática,Recife,34,11,"32,35%"
66/21,UNICAP,Pedagogia,Recife,45,27,"60,00%"
